claim,source_url,source_domain,article_title,risk_score,risk_category,has_factcheck,factcheck_rating,factcheck_source,source_type,checked_at
Februar den Betrieb eingestellt – eine Rückkehr zum normalen Flugplan ist noch immer nicht in Sicht,https://www.solinger-tageblatt.de/reise/iran-krieg-dubai-spricht-landeverbot-aus-welche-airlines-jetzt-noch-fliegen-duerfen-GE4IBMC2WBH3FMDI4RD25EFWCI.html,solinger-tageblatt.de,Iran-Krieg: Dubai spricht Landeverbot aus – Welche Airlines jetzt noch fliegen dürfen,0.1,LOW,False,,,unknown,2026-03-18T02:26:51.211837
Einige Reiseveranstalter und Airlines haben alle Flüge in die Region abgesagt,https://www.solinger-tageblatt.de/reise/iran-krieg-dubai-spricht-landeverbot-aus-welche-airlines-jetzt-noch-fliegen-duerfen-GE4IBMC2WBH3FMDI4RD25EFWCI.html,solinger-tageblatt.de,Iran-Krieg: Dubai spricht Landeverbot aus – Welche Airlines jetzt noch fliegen dürfen,0.1,LOW,False,,,unknown,2026-03-18T02:26:51.307357
Abo abschliessen Sie sind nicht angemeldet Mit einem Benutzerkonto alle Vorteile geniessen und mit jedem GerÃ¤t lesen,https://www.bernerzeitung.ch/bern-serbe-faelscht-bulgarischen-pass-fuer-aufenthalt-851063298356,bernerzeitung.ch,Bern: Serbe fÃ¤lscht bulgarischen Pass fÃ¼r Aufenthalt,0.1,LOW,False,,,unknown,2026-03-18T02:26:52.683054
Februar den Betrieb eingestellt – eine Rückkehr zum normalen Flugplan ist noch immer nicht in Sicht,https://www.paz-online.de/reise/iran-krieg-dubai-spricht-landeverbot-aus-welche-airlines-jetzt-noch-fliegen-duerfen-GE4IBMC2WBH3FMDI4RD25EFWCI.html,paz-online.de,Iran-Krieg: Dubai spricht Landeverbot aus – Welche Airlines jetzt noch fliegen dürfen,0.1,LOW,False,,,unknown,2026-03-18T02:26:55.562652
Einige Reiseveranstalter und Airlines haben alle Flüge in die Region abgesagt,https://www.paz-online.de/reise/iran-krieg-dubai-spricht-landeverbot-aus-welche-airlines-jetzt-noch-fliegen-duerfen-GE4IBMC2WBH3FMDI4RD25EFWCI.html,paz-online.de,Iran-Krieg: Dubai spricht Landeverbot aus – Welche Airlines jetzt noch fliegen dürfen,0.1,LOW,False,,,unknown,2026-03-18T02:26:55.657739
Februar den Betrieb eingestellt – eine Rückkehr zum normalen Flugplan ist noch immer nicht in Sicht,https://www.neuepresse.de/reise/iran-krieg-dubai-spricht-landeverbot-aus-welche-airlines-jetzt-noch-fliegen-duerfen-GE4IBMC2WBH3FMDI4RD25EFWCI.html,neuepresse.de,Iran-Krieg: Dubai spricht Landeverbot aus – Welche Airlines jetzt noch fliegen dürfen,0.1,LOW,False,,,unknown,2026-03-18T02:26:56.269576
Einige Reiseveranstalter und Airlines haben alle Flüge in die Region abgesagt,https://www.neuepresse.de/reise/iran-krieg-dubai-spricht-landeverbot-aus-welche-airlines-jetzt-noch-fliegen-duerfen-GE4IBMC2WBH3FMDI4RD25EFWCI.html,neuepresse.de,Iran-Krieg: Dubai spricht Landeverbot aus – Welche Airlines jetzt noch fliegen dürfen,0.1,LOW,False,,,unknown,2026-03-18T02:26:56.363610
"Einer Klägerin soll laut Klage ein Link zu einer Discord-Gruppe zugespielt worden sein, in der sexualisierte Bilder von 18 anderen Minderjährigen verbreitet worden sein sollen, viele kannte sie demnach von ihrer Schule",https://www.spiegel.de/netzwelt/chatbot-grok-teenager-verklagen-elon-musks-ki-firma-wegen-sexualisierten-bildern-a-673bf038-7027-4fea-8559-fa4c061fac8b,spiegel.de,Grok: Teenager verklagen Elon Musks KI-Firma wegen sexualisierter Bilder - DER SPIEGEL,0,LOW,False,,,unknown,2026-03-18T02:26:57.522728
"Laut Klageschrift landeten die Motive auch in einschlägigen Telegram-Gruppen, in denen Pädokrimelle Missbrauchsdarstellungen tauschen",https://www.spiegel.de/netzwelt/chatbot-grok-teenager-verklagen-elon-musks-ki-firma-wegen-sexualisierten-bildern-a-673bf038-7027-4fea-8559-fa4c061fac8b,spiegel.de,Grok: Teenager verklagen Elon Musks KI-Firma wegen sexualisierter Bilder - DER SPIEGEL,0,LOW,False,,,unknown,2026-03-18T02:26:57.620945
Mit dem Chatbot konnten laut Berichten auch echte Personen in Bikinis oder sexualisierte Posen montiert werden,https://www.spiegel.de/netzwelt/chatbot-grok-teenager-verklagen-elon-musks-ki-firma-wegen-sexualisierten-bildern-a-673bf038-7027-4fea-8559-fa4c061fac8b,spiegel.de,Grok: Teenager verklagen Elon Musks KI-Firma wegen sexualisierter Bilder - DER SPIEGEL,0,LOW,False,,,unknown,2026-03-18T02:26:57.717948
